/// SU2 - Version 2.00
/// 
P,mBar	T2,K	V(Ge),V	V(Coil),V)	V(Sample-V),V	V(Sample-I),V


987	 6.592	0.01599075831	-0.00075948727	-0.00011185939	1.86404550076
987	 6.593	0.01597158052	-0.00076003774	-0.00011174614	1.86400961876
987	 6.593	0.01597459987	-0.00075995253	-0.00011166539	1.86400556564
987	 6.594	0.01597124897	0.04558480158	-0.00011094992	1.86402702332
987	 6.594	0.01596707106	0.05257766694	-0.00011130092	1.86399495602
987	 6.594	0.01596692391	0.10548655689	0.00017439728	1.86406064034
987	 6.595	0.01600476727	0.13944748044	0.00046646301	1.86401009560
987	 6.595	0.01603992097	0.15450684726	0.00059450598	1.86401557922
987	 6.595	0.01603402570	0.17300815880	0.00062958297	1.86401116848
987	 6.595	0.01604468189	0.18115887046	0.00068668928	1.86393380165
986	 6.596	0.01606642827	0.18838647008	0.00074778445	1.86400330067
987	 6.595	0.01607710309	0.19412544370	0.00075499079	1.86402201653
987	 6.595	0.01607550494	0.20023995638	0.00077050680	1.86408102512
987	 6.595	0.01604833268	0.22070576251	0.00081582688	1.86398935318
987	 6.596	0.01604144461	0.21982397139	0.00082644325	1.86395370960
987	 6.596	0.01602913998	0.24700574577	0.00085328345	1.86395490170
987	 6.597	0.01606112719	0.30181974173	0.00090566860	1.86398983002
987	 6.597	0.01604529656	0.36879584193	0.00092240586	1.86401402950
987	 6.597	0.01607084833	0.41097062826	0.00092413952	1.86394679546
987	 6.597	0.01605154946	0.51151782274	0.00093623827	1.86395311356
987	 6.597	0.01605572365	0.54846763611	0.00093354797	1.86398184299
987	 6.597	0.01603983529	0.83042657375	0.00093542761	1.86396110058
987	 6.597	0.01604641043	1.13786983490	0.00093865395	1.86394786835
987	 6.597	0.01602683775	1.26640665531	0.00093616435	1.86396729946
987	 6.597	0.01600351930	1.44085967541	0.00093667110	1.86393022537
987	 6.598	0.01598045975	1.49797010422	0.00093831064	1.86390757561
987	 6.599	0.01596812345	1.65981495380	0.00093925814	1.86396920681
987	 6.600	0.01598519459	1.78253996372	0.00093903841	1.86395323277
987	 6.600	0.01598559693	1.95014131069	0.00094622758	1.86393058300
987	 6.600	0.01600236073	2.06277251244	0.00094037934	1.86390399933
988	 6.600	0.01600266248	2.16638112068	0.00094185426	1.86386013031
987	 6.599	0.01603265665	2.24910187721	0.00094083027	1.86391043663
987	 6.598	0.01600415446	2.42260789871	0.00094246416	1.86392796040
987	 6.599	0.01603197493	2.49424028397	0.00094854581	1.86394369602
987	 6.598	0.01602303050	2.83257389069	0.00095591252	1.86393392086
987	 6.598	0.01603629254	2.96234536171	0.00094482838	1.86391139030
987	 6.598	0.01603204943	2.96137046814	0.00094465574	1.86392104626
987	 6.598	0.01603997312	2.96063709259	0.00094407366	1.86388444901
987	 6.598	0.01604132727	2.95992541313	0.00094447623	1.86387276649
987	 6.598	0.01602884196	2.74528384209	0.00093850354	1.86385333538
987	 6.598	0.01604074053	2.44490075111	0.00094207958	1.86386704445
987	 6.598	0.01605098508	2.17734670639	0.00092169433	1.86386597157
987	 6.598	0.01605224796	1.95859611034	0.00092622812	1.86386334896
987	 6.598	0.01602432877	1.79030454159	0.00092784199	1.86383295059
987	 6.599	0.01603033952	1.63345253468	0.00093387073	1.86381530762
987	 6.598	0.01601718925	1.38283407688	0.00092497334	1.86379909515
987	 6.599	0.01599836349	1.18954157829	0.00093580841	1.86382949352
987	 6.599	0.01599063165	0.94486558437	0.00093648687	1.86382222176
987	 6.600	0.01600293443	0.89647322893	0.00093622459	1.86380875111
987	 6.599	0.01597069949	0.68396937847	0.00093568407	1.86382114887
987	 6.600	0.01599989273	0.42592626810	0.00093237124	1.86376547813
987	 6.600	0.01598167792	0.21714633703	0.00090799824	1.86381697655
987	 6.599	0.01600807719	0.13835775852	0.00063253765	1.86381971836
987	 6.598	0.01596407220	0.13034574687	0.00043145983	1.86381673813
987	 6.598	0.01597009227	0.07983438671	-0.00006314703	1.86379766464
987	 6.596	0.01595501974	0.04528479651	-0.00011203658	1.86377739906
987	 6.596	0.01595068350	0.03778239340	-0.00011187286	1.86376667023
987	 6.595	0.01594143733	0.03690852597	-0.00011222948	1.86374723911
987	 6.596	0.01593109034	0.03658643365	-0.00011167998	1.86375200748
987	 6.596	0.01591778733	-0.00075701531	-0.00011192670	1.86376214027
