/// SU2 - Version 2.00
/// 
P,mBar	T2,K	V(Ge),V	V(Coil),V)	V(Sample-V),V	V(Sample-I),V


986	 4.803	0.07912997156	-0.00075965462	-0.00011149723	1.88030874729
987	 4.802	0.07915114611	-0.00075970724	-0.00011127407	1.88031637669
986	 4.801	0.07914382964	-0.00075963215	-0.00011128416	1.88025677204
987	 4.801	0.07911060005	-0.00075966580	-0.00011144677	1.88024497032
986	 4.801	0.07915536314	0.03433559462	-0.00011131669	1.88014757633
987	 4.801	0.07912100106	0.16398221254	-0.00011057206	1.88028180599
987	 4.801	0.07917132229	0.30431890488	-0.00011190768	1.88030135632
986	 4.801	0.07916326821	0.40363502502	-0.00011051375	1.88027107716
986	 4.801	0.07917781919	0.54717224836	-0.00011163966	1.88018870354
987	 4.801	0.07919511944	0.66593956947	-0.00011118437	1.88017487526
987	 4.801	0.07915709913	0.84559845924	-0.00010897069	1.88021564484
987	 4.801	0.07912797481	0.96266496181	-0.00010858156	1.88026344776
986	 4.801	0.07913985848	1.04826593399	-0.00010731547	1.88022434711
987	 4.801	0.07913675159	1.12874114513	-0.00007923288	1.88016283512
987	 4.802	0.07917416096	1.20319294930	-0.00002297346	1.88012945652
986	 4.803	0.07913893461	1.20526027679	-0.00000559593	1.88017463684
987	 4.804	0.07914015651	1.35146868229	0.00016170432	1.88016009331
986	 4.805	0.07918158174	1.42823076248	0.00032360945	1.88010644913
987	 4.807	0.07912731916	1.47346901894	0.00038009314	1.88004636765
987	 4.807	0.07915938646	1.58578455448	0.00047095629	1.87991034985
986	 4.807	0.07915685326	1.66148769855	0.00055649364	1.88001894951
987	 4.808	0.07917667925	1.72515082359	0.00056144258	1.88007903099
986	 4.807	0.07917340100	1.77523970604	0.00056437845	1.88018167019
986	 4.807	0.07919336110	1.85900557041	0.00056576246	1.88025772572
986	 4.808	0.07920020074	2.01084756851	0.00056709797	1.88026821613
986	 4.808	0.07919856161	2.08135890961	0.00056433259	1.88020789623
987	 4.808	0.07922159880	2.25066804886	0.00056825642	1.88017189503
987	 4.808	0.07921422273	2.41730594635	0.00056880363	1.88017749786
987	 4.809	0.07922711223	2.45992660522	0.00056897412	1.88022732735
987	 4.809	0.07925906777	2.63169693947	0.00057775388	1.88024175167
986	 4.808	0.07926699519	2.71977066994	0.00057126436	1.88016998768
986	 4.808	0.07926280051	2.94398880005	0.00057487533	1.88020277023
986	 4.808	0.07927908003	2.96349573135	0.00057463651	1.88021385670
987	 4.807	0.07922533154	2.96136689186	0.00057418697	1.88030099869
987	 4.807	0.07930488139	2.92221617699	0.00057390548	1.88020086288
986	 4.806	0.07927382737	2.84448599815	0.00057177147	1.88012504578
986	 4.806	0.07933466136	2.74711799622	0.00057045830	1.88010668755
986	 4.807	0.07935151458	2.66058874130	0.00056892086	1.88004636765
987	 4.806	0.07935538143	2.58114647865	0.00056956575	1.88009798527
986	 4.806	0.07936721295	2.50534820557	0.00056887715	1.88016152382
986	 4.806	0.07937876880	2.46055459976	0.00056907453	1.88022291660
986	 4.805	0.07938335836	2.40373301506	0.00056809775	1.88024127483
986	 4.805	0.07936434448	2.20759439468	0.00056589872	1.88027393818
986	 4.805	0.07938507944	2.07679390907	0.00056402816	1.88013494015
986	 4.806	0.07935778797	2.00679111481	0.00056434685	1.88005840778
986	 4.806	0.07937754691	1.86171174049	0.00056361570	1.88010048866
986	 4.806	0.07938756794	1.79043388367	0.00056239113	1.88003969193
986	 4.806	0.07939139754	1.72782135010	0.00056196487	1.87996900082
986	 4.807	0.07938691974	1.65683126450	0.00055334577	1.87999057770
986	 4.807	0.07940606028	1.50882720947	0.00051569851	1.88008785248
986	 4.807	0.07942253351	1.47457253933	0.00038714544	1.88007938862
986	 4.806	0.07943178713	1.42442142963	0.00033850371	1.87999796867
986	 4.805	0.07940917462	1.38140189648	0.00025906553	1.87998020649
986	 4.805	0.07943338156	1.32062101364	0.00017873126	1.88000154495
986	 4.804	0.07944790274	1.26062095165	0.00010586008	1.87992095947
986	 4.804	0.07945045084	1.18969583511	0.00003712478	1.87995278835
986	 4.804	0.07945886999	1.12297201157	-0.00004159790	1.87990427017
986	 4.804	0.07945293933	1.08334851265	-0.00007788711	1.87989342213
986	 4.804	0.07948215306	0.97626471519	-0.00011109352	1.87988090515
986	 4.803	0.07949349284	0.67275327444	-0.00011085129	1.87992894650
986	 4.803	0.07948101312	0.48099491000	-0.00011437031	1.87991273403
986	 4.803	0.07949400693	0.23838576674	-0.00011158134	1.87970781326
986	 4.803	0.07951138914	-0.00077225233	-0.00011398902	1.87977147102
986	 4.803	0.07949445397	-0.00075648562	-0.00011177646	1.87968575954
986	 4.803	0.07950983942	-0.00075758458	-0.00011152077	1.87975835800
