/// SU2 - Version 2.00
/// 
P,mBar	T2,K	V(Ge),V	V(Coil),V)	V(Sample-V),V	V(Sample-I),V


279	 3.162	0.23192892969	-0.00075946556	-0.00011284103	1.86773455143
279	 3.162	0.23206913471	-0.00075958797	-0.00011332322	1.86773920059
279	 3.162	0.23204524815	0.20329214633	-0.00011054885	1.86753010750
279	 3.161	0.23214629292	0.32735469937	-0.00011394785	1.86749947071
279	 3.161	0.23213224113	0.44258913398	-0.00011233189	1.86752057076
278	 3.161	0.23221234977	0.62123453617	-0.00010903158	1.86768138409
279	 3.161	0.23225964606	0.78932940960	-0.00011091555	1.86766397953
279	 3.161	0.23226282001	1.05515217781	-0.00010184445	1.86763918400
278	 3.160	0.23234452307	1.13827848434	-0.00010883646	1.86767411232
279	 3.160	0.23236607015	1.30085027218	-0.00011049391	1.86762630939
278	 3.160	0.23238338530	1.42665934563	-0.00010987713	1.86760866642
278	 3.160	0.23246270418	1.51217353344	-0.00011070025	1.86770498753
278	 3.159	0.23242269456	1.65672659874	-0.00009961959	1.86771833897
278	 3.159	0.23262467980	1.77057850361	-0.00008234648	1.86789035797
278	 3.159	0.23251084983	1.81564247608	-0.00007227622	1.86778283119
278	 3.159	0.23246876895	1.87874615192	-0.00004957100	1.86777889729
278	 3.159	0.23252812028	2.05938267708	0.00007542042	1.86793398857
277	 3.160	0.23214481771	2.17371392250	0.00025345798	1.86779201031
278	 3.162	0.23198495805	2.20387983322	0.00028236126	1.86768436432
278	 3.163	0.23176854849	2.23331618309	0.00031342660	1.86766552925
277	 3.164	0.23172542453	2.27905559540	0.00034680543	1.86770486832
278	 3.164	0.23167106509	2.28380250931	0.00034710698	1.86770713329
278	 3.164	0.23155429959	2.39970946312	0.00044453633	1.86764323711
278	 3.165	0.23153898120	2.40721917152	0.00045160123	1.86786353588
277	 3.165	0.23142935336	2.40982961655	0.00045093728	1.86796045303
277	 3.166	0.23145525157	2.49334645271	0.00047671740	1.86788713932
277	 3.166	0.23144643009	2.56443190575	0.00048611482	1.86763858795
277	 3.166	0.23145650327	2.62299680710	0.00049192045	1.86771750450
277	 3.166	0.23146919906	2.83845806122	0.00050697429	1.86774861813
277	 3.166	0.23147283494	2.93542814255	0.00051254214	1.86770784855
277	 3.166	0.23147688806	2.95531582832	0.00050091872	1.86774039268
277	 3.166	0.23151859641	2.95470166206	0.00050065853	1.86765372753
277	 3.166	0.23149095476	2.95400476456	0.00050039182	1.86774373055
277	 3.166	0.23157578707	2.95345282555	0.00050069124	1.86797785759
277	 3.166	0.23145779967	2.95295286179	0.00050084281	1.86783003807
276	 3.166	0.23160897195	2.95196175575	0.00050069258	1.86780929565
277	 3.166	0.23158630729	2.95019936562	0.00050044805	1.86769676208
277	 3.165	0.23156605661	2.72226285934	0.00049331482	1.86768794060
277	 3.165	0.23164032400	2.65622615814	0.00049493974	1.86763584614
277	 3.165	0.23168703914	2.44412827492	0.00046559135	1.86768317223
276	 3.165	0.23178173602	2.44160628319	0.00046489830	1.86767649651
277	 3.165	0.23175217211	2.28338527679	0.00041151448	1.86770606041
276	 3.164	0.23196095228	2.19928359985	0.00028037321	1.86773192883
276	 3.163	0.23215730488	2.15872716904	0.00023390412	1.86778986454
276	 3.162	0.23228885233	2.05216932297	0.00014943266	1.86781346798
276	 3.161	0.23249725997	1.96831405163	0.00007896536	1.86772000790
276	 3.160	0.23262292147	1.91495943069	0.00003171916	1.86779761314
276	 3.159	0.23280425370	1.87065398693	0.00000104069	1.86766302586
276	 3.158	0.23292128742	1.81457185745	-0.00003119768	1.86772751808
276	 3.157	0.23296104372	1.77630710602	-0.00004535327	1.86778068542
276	 3.157	0.23312422633	1.72073769569	-0.00007318897	1.86782681942
276	 3.156	0.23311741650	1.63764345646	-0.00009923827	1.86782646179
276	 3.156	0.23319295049	1.55320298672	-0.00011055221	1.86781394482
276	 3.155	0.23325128853	1.41848349571	-0.00011158278	1.86783993244
276	 3.155	0.23326565325	1.27703166008	-0.00011125085	1.86780166626
276	 3.155	0.23339429498	1.12446260452	-0.00011160746	1.86775910854
276	 3.155	0.23328676820	1.04263079166	-0.00011149757	1.86770820618
276	 3.155	0.23335301876	0.91647446156	-0.00011276253	1.86775994301
276	 3.155	0.23336839676	0.55737757683	-0.00011383012	1.86771976948
276	 3.155	0.23334066570	0.33603975177	-0.00011587221	1.86772072315
276	 3.154	0.23339201510	0.19888491929	-0.00011552681	1.86763918400
276	 3.154	0.23338437080	0.00293205120	-0.00011722575	1.86764097214
