/// SU2 - Version 2.00
/// 
P,mBar	T2,K	V(Ge),V	V(Coil),V)	V(Sample-V),V	V(Sample-I),V


980	 4.219	0.11676616967	-0.00075911504	-0.00013088806	0.91333347559
980	 4.219	0.11673945189	-0.00075944245	-0.00013078713	0.91757529974
980	 4.219	0.11677870899	-0.00075932237	-0.00013089366	0.91109192371
980	 4.219	0.11674444377	-0.00075926178	-0.00013110449	0.90993100405
980	 4.219	0.11676432937	-0.00075959833	-0.00013128055	0.91166985035
980	 4.219	0.11673809588	-0.00075881224	-0.00013070863	0.91388547421
980	 4.219	0.11675090343	0.04333761334	-0.00013190629	0.91669672728
980	 4.219	0.11674908549	0.09967885911	-0.00013031614	0.91638636589
980	 4.219	0.11677940190	0.13460268080	-0.00013057742	0.91497439146
981	 4.219	0.11673539877	0.13310709596	-0.00013084206	0.91375041008
980	 4.219	0.11674711853	0.18740144372	-0.00012963655	0.91315299273
980	 4.219	0.11673874408	0.22499512136	-0.00013090597	0.91370570660
980	 4.219	0.11672668159	0.29025295377	-0.00012765278	0.91401326656
980	 4.219	0.11674524099	0.34164795280	-0.00013024098	0.91466796398
980	 4.220	0.11673025042	0.42890122533	-0.00012998081	0.91488623619
981	 4.220	0.11674293131	0.51169979572	-0.00012834131	0.91454237700
981	 4.220	0.11670226604	0.52631032467	-0.00012883249	0.91451615095
981	 4.220	0.11673621833	0.62339526415	-0.00013097997	0.91485142708
981	 4.220	0.11669866741	0.70080846548	-0.00012770435	0.91475367546
981	 4.220	0.11673533171	0.81798350811	-0.00012891210	0.91498011351
981	 4.220	0.11667168885	0.90492796898	-0.00012924179	0.91566157341
981	 4.220	0.11670596898	0.96577000618	-0.00013073327	0.91590297222
982	 4.220	0.11668042094	1.03664374352	-0.00012941785	0.91629773378
981	 4.220	0.11667244136	1.06269276142	-0.00013019948	0.91675156355
982	 4.220	0.11668348312	1.11482000351	-0.00013039573	0.91735464334
982	 4.220	0.11663860828	1.14116406441	-0.00012992472	0.91793072224
982	 4.220	0.11667088419	1.20740270615	-0.00013022975	0.91862881184
982	 4.221	0.11667088419	1.20740270615	-0.00013022975	0.91862881184
982	 4.221	0.11664811522	1.23455882072	-0.00012896369	0.91933995485
982	 4.221	0.11662375182	1.23334980011	-0.00013007500	0.91958904266
982	 4.221	0.11667852849	1.43839645386	-0.00011586343	0.91997951269
982	 4.221	0.11667158455	1.49350798130	-0.00010855973	0.92029416561
981	 4.220	0.11667267233	1.50587642193	-0.00010612627	0.92039895058
981	 4.220	0.11669144779	1.60338616371	-0.00007181238	0.92064762115
981	 4.220	0.11672487855	1.66050803661	-0.00002253448	0.92077654600
981	 4.220	0.11668190360	1.71145546436	0.00001261822	0.92095881701
981	 4.220	0.11670088768	1.73837876320	0.00004767444	0.92119354010
980	 4.220	0.11668393761	1.77224874496	0.00007786376	0.92152047157
980	 4.220	0.11669865251	1.80138456821	0.00009911999	0.92175471783
980	 4.220	0.11669699103	1.81597590446	0.00011392700	0.92212557793
980	 4.220	0.11670333892	1.92172944546	0.00016594786	0.92233532667
980	 4.220	0.11669039726	1.94508349895	0.00017373372	0.92265248299
