/// SU2 - Version 2.00
/// 
P,mBar	T2,K	V(Ge),V	V(Coil),V)	V(Sample-V),V	V(Sample-I),V


986	 6.297	0.02007985674	-0.00075955747	-0.00011165757	1.86487209797
987	 6.297	0.02008600160	-0.00075946451	-0.00011159363	1.86485636234
986	 6.297	0.02007308416	0.08169008791	-0.00010595624	1.86490762234
986	 6.297	0.02006399818	0.18805682659	-0.00011164185	1.86490583420
986	 6.297	0.02005124278	0.19310915470	-0.00011114955	1.86486661434
986	 6.297	0.02005189657	0.23575322330	-0.00011055856	1.86490678787
987	 6.298	0.02003940009	0.30776667595	0.00006529730	1.86492085457
986	 6.299	0.02009939402	0.30776429176	0.00007774845	1.86487662792
986	 6.297	0.02007856220	0.42165526748	0.00068918162	1.86488330364
986	 6.300	0.02018280700	0.41574677825	0.00066605117	1.86489427090
987	 6.298	0.02013188973	0.42822226882	0.00069235184	1.86490392685
986	 6.299	0.02014322020	0.51178753376	0.00080643274	1.86486291885
986	 6.300	0.02015873790	0.52559489012	0.00081962964	1.86487734318
986	 6.300	0.02014499158	0.61956822872	0.00083476322	1.86484074593
986	 6.300	0.02014954016	0.60504853725	0.00083215482	1.86487889290
986	 6.300	0.02014300227	0.79035437107	0.00084585388	1.86483883858
986	 6.300	0.02011625655	1.02706766129	0.00084227894	1.86481595039
986	 6.301	0.02012023516	1.14093303680	0.00084256375	1.86485934258
986	 6.301	0.02009924687	1.42227756977	0.00084284303	1.86485064030
986	 6.301	0.02012313902	1.72616755962	0.00084520725	1.86483454704
986	 6.301	0.02012755536	1.91475188732	0.00085261982	1.86485815048
986	 6.301	0.02014482021	2.16095495224	0.00084597681	1.86485540867
986	 6.300	0.02013291605	2.45443654060	0.00084892038	1.86483609676
986	 6.301	0.02014645562	2.75463318825	0.00085024699	1.86483287811
986	 6.301	0.02015984245	2.96337175369	0.00085160846	1.86486673355
986	 6.300	0.02015160210	2.85238242149	0.00085085584	1.86488378048
986	 6.300	0.02017008886	2.71882867813	0.00085058220	1.86488008499
986	 6.300	0.02018667758	2.45206165314	0.00084853108	1.86487042904
986	 6.299	0.02018883638	2.24156260490	0.00082840805	1.86484098434
986	 6.299	0.02018168569	2.12602806091	0.00084737467	1.86485075951
987	 6.299	0.02020188980	1.81550288200	0.00083035149	1.86476314068
986	 6.299	0.02018811926	1.58011436462	0.00084481906	1.86472642422
987	 6.299	0.02020688541	1.29873120785	0.00084264122	1.86474704742
986	 6.299	0.02017752826	1.02747654915	0.00083699718	1.86475443840
986	 6.299	0.02018170245	0.52564376593	0.00083298137	1.86473548412
986	 6.299	0.02017581835	0.51023840904	0.00081107212	1.86469817162
987	 6.299	0.02017973177	0.48827579618	0.00079918531	1.86475694180
986	 6.299	0.02015906386	0.43141576648	0.00079510111	1.86475145817
986	 6.299	0.02018290013	0.38013219833	0.00065674249	1.86475217342
986	 6.298	0.02014384046	0.36726975441	0.00051717128	1.86470794678
986	 6.298	0.02016950026	0.33851107955	0.00032790098	1.86475706100
986	 6.297	0.02015716583	0.31148606539	0.00024763067	1.86474835873
986	 6.296	0.02015288919	0.30340769887	0.00009478634	1.86471760273
986	 6.296	0.02015636489	0.28860831261	0.00006351212	1.86473345757
986	 6.296	0.02013309672	0.22702994943	-0.00009990389	1.86471760273
987	 6.295	0.02011962235	0.20638373494	-0.00011209264	1.86469638348
986	 6.296	0.02010569908	0.18541306257	-0.00011189753	1.86470973492
986	 6.296	0.02012301050	0.12830287218	-0.00011138167	1.86470937729
986	 6.296	0.02011979930	-0.00075714139	-0.00011606584	1.86469340324
986	 6.296	0.02011188120	-0.00075845007	-0.00011194125	1.86470067501
