Wavelength(nm)	Intensity(counts)
914.39	-17.00
914.82	1.00
915.25	-29.00
915.68	3.00
916.11	-14.00
916.54	2.00
916.97	8.00
917.39	-8.00
917.82	-15.00
918.25	-15.00
918.68	26.00
919.11	20.00
919.54	13.00
919.97	-14.00
920.40	-34.00
920.83	-25.00
921.25	-3.00
921.68	0.00
922.11	-3.00
922.54	-28.00
922.97	20.00
923.40	-17.00
923.83	-23.00
924.26	2.00
924.68	-25.00
925.11	-2.00
925.54	17.00
925.97	-4.00
926.40	18.00
926.83	-5.00
927.26	9.00
927.68	-22.00
928.11	21.00
928.54	20.00
928.97	12.00
929.40	13.00
929.83	-4.00
930.25	1.00
930.68	6.00
931.11	5.00
931.54	14.00
931.97	-16.00
932.39	-26.00
932.82	0.00
933.25	-15.00
933.68	1.00
934.11	-1.00
934.53	-6.00
934.96	-1.00
935.39	-4.00
935.82	1.00
936.25	20.00
936.67	-10.00
937.10	-10.00
937.53	15.00
937.96	-5.00
938.38	-13.00
938.81	21.00
939.24	9.00
939.67	-28.00
940.10	7.00
940.52	-7.00
940.95	16.00
941.38	-3.00
941.81	-6.00
942.23	2.00
942.66	-4.00
943.09	4.00
943.51	-16.00
943.94	2.00
944.37	18.00
944.80	0.00
945.22	-1.00
945.65	-16.00
946.08	-7.00
946.51	-19.00
946.93	-14.00
947.36	17.00
947.79	19.00
948.21	-22.00
948.64	23.00
949.07	-14.00
949.49	16.00
949.92	2.00
950.35	9.00
950.78	-14.00
951.20	-1.00
951.63	2.00
952.06	-12.00
952.48	5.00
952.91	19.00
953.34	-14.00
953.76	-28.00
954.19	-7.00
954.62	-6.00
955.04	-13.00
955.47	-2.00
955.90	-15.00
956.32	-23.00
956.75	-1.00
957.18	6.00
957.60	19.00
958.03	2.00
958.45	-18.00
958.88	3.00
959.31	-3.00
959.73	-14.00
960.16	9.00
960.59	-13.00
961.01	18.00
961.44	18.00
961.86	-11.00
962.29	1.00
962.72	-7.00
963.14	11.00
963.57	21.00
963.99	-6.00
964.42	-11.00
964.85	-10.00
965.27	-8.00
965.70	-31.00
966.12	0.00
966.55	-6.00
966.98	-5.00
967.40	-29.00
967.83	-7.00
968.25	-9.00
968.68	22.00
969.10	-15.00
969.53	-24.00
969.96	-5.00
970.38	6.00
970.81	-16.00
971.23	-17.00
971.66	-8.00
972.08	19.00
972.51	16.00
972.93	8.00
973.36	9.00
973.78	6.00
974.21	2.00
974.64	11.00
975.06	6.00
975.49	13.00
975.91	-8.00
976.34	-2.00
976.76	14.00
977.19	18.00
977.61	21.00
978.04	-18.00
978.46	-32.00
978.89	17.00
979.31	26.00
979.74	-27.00
980.16	-2.00
980.59	8.00
981.01	7.00
981.44	-15.00
981.86	19.00
982.29	-8.00
982.71	-4.00
983.14	-19.00
983.56	12.00
983.98	-42.00
984.41	6.00
984.83	-16.00
985.26	6.00
985.68	-6.00
986.11	-10.00
986.53	-4.00
986.96	-5.00
987.38	16.00
987.81	2.00
988.23	2.00
988.65	9.00
989.08	-28.00
989.50	-4.00
989.93	21.00
990.35	-5.00
990.78	-4.00
991.20	1.00
991.62	10.00
992.05	-9.00
992.47	-9.00
992.90	-8.00
993.32	-4.00
993.74	5.00
994.17	11.00
994.59	2.00
995.02	-17.00
995.44	-34.00
995.86	13.00
996.29	-19.00
996.71	-15.00
997.13	-9.00
997.56	1.00
997.98	2.00
998.41	-20.00
998.83	-8.00
999.25	-3.00
999.68	-1.00
1000.10	19.00
1000.52	13.00
1000.95	9.00
1001.37	8.00
1001.79	40.00
1002.22	28.00
1002.64	4.00
1003.06	-8.00
1003.49	-9.00
1003.91	15.00
1004.33	20.00
1004.76	-14.00
1005.18	-10.00
1005.60	-3.00
1006.03	-13.00
1006.45	-11.00
1006.87	-8.00
1007.30	-11.00
1007.72	-8.00
1008.14	-38.00
1008.57	-15.00
1008.99	-4.00
1009.41	12.00
1009.83	-12.00
1010.26	6.00
1010.68	-3.00
1011.10	12.00
1011.53	24.00
1011.95	-6.00
1012.37	-26.00
1012.79	-41.00
1013.22	11.00
1013.64	7.00
1014.06	-10.00
1014.48	-19.00
1014.91	12.00
1015.33	-11.00
1015.75	18.00
1016.17	9.00
1016.60	15.00
1017.02	18.00
1017.44	-21.00
1017.86	10.00
1018.29	26.00
1018.71	-4.00
1019.13	2.00
1019.55	-18.00
1019.98	1.00
1020.40	4.00
1020.82	-37.00
1021.24	-13.00
1021.66	-12.00
1022.09	-2.00
1022.51	7.00
1022.93	-33.00
1023.35	26.00
1023.77	-25.00
1024.20	8.00
1024.62	12.00
1025.04	-13.00
1025.46	-10.00
1025.88	-17.00
1026.31	-14.00
1026.73	2.00
1027.15	-9.00
1027.57	-26.00
1027.99	5.00
1028.41	-11.00
1028.84	-11.00
1029.26	-25.00
1029.68	-16.00
1030.10	4.00
1030.52	3.00
1030.94	1.00
1031.36	-13.00
1031.79	26.00
1032.21	4.00
1032.63	15.00
1033.05	-26.00
1033.47	14.00
1033.89	0.00
1034.31	2.00
1034.73	27.00
1035.16	-5.00
1035.58	22.00
1036.00	-2.00
1036.42	24.00
1036.84	-4.00
1037.26	-21.00
1037.68	-4.00
1038.10	3.00
1038.52	-2.00
1038.95	-3.00
1039.37	-19.00
1039.79	11.00
1040.21	15.00
1040.63	-12.00
1041.05	14.00
1041.47	11.00
1041.89	0.00
1042.31	1.00
1042.73	-2.00
1043.15	8.00
1043.57	-27.00
1043.99	-25.00
1044.41	-3.00
1044.83	-14.00
1045.26	-9.00
1045.68	-24.00
1046.10	0.00
1046.52	2.00
1046.94	2.00
1047.36	-3.00
1047.78	1.00
1048.20	-5.00
1048.62	-21.00
1049.04	-29.00
1049.46	-10.00
1049.88	13.00
1050.30	19.00
1050.72	-19.00
1051.14	-19.00
1051.56	12.00
1051.98	1.00
1052.40	-2.00
1052.82	13.00
1053.24	-8.00
1053.66	-17.00
1054.08	13.00
1054.50	-7.00
1054.92	0.00
1055.34	19.00
1055.76	3.00
1056.18	3.00
1056.60	-19.00
1057.02	-9.00
1057.44	4.00
1057.86	36.00
1058.28	10.00
1058.69	-42.00
1059.11	-25.00
1059.53	-7.00
1059.95	-6.00
1060.37	-5.00
1060.79	-24.00
1061.21	-15.00
1061.63	-26.00
1062.05	-23.00
1062.47	14.00
1062.89	36.00
1063.31	-6.00
1063.73	-27.00
1064.15	-18.00
1064.56	-26.00
1064.98	-11.00
1065.40	-4.00
1065.82	3.00
1066.24	8.00
1066.66	-14.00
1067.08	-2.00
1067.50	32.00
1067.92	5.00
1068.34	-22.00
1068.75	13.00
1069.17	5.00
1069.59	-25.00
1070.01	-12.00
1070.43	-4.00
1070.85	13.00
1071.27	25.00
1071.69	-14.00
1072.10	-20.00
1072.52	-4.00
1072.94	-28.00
1073.36	-23.00
1073.78	2.00
1074.20	3.00
1074.61	34.00
1075.03	-3.00
1075.45	-41.00
1075.87	33.00
1076.29	8.00
1076.71	-40.00
1077.12	-20.00
1077.54	1.00
1077.96	-7.00
1078.38	-4.00
1078.80	-3.00
1079.22	-25.00
1079.63	5.00
1080.05	-22.00
1080.47	-11.00
1080.89	26.00
1081.31	17.00
1081.72	1.00
1082.14	-13.00
1082.56	12.00
1082.98	0.00
1083.39	10.00
1083.81	15.00
1084.23	-1.00
1084.65	5.00
1085.07	-35.00
1085.48	-42.00
1085.90	13.00
1086.32	-38.00
1086.74	-4.00
1087.15	-9.00
1087.57	-31.00
1087.99	0.00
1088.41	-35.00
1088.82	-12.00
1089.24	-11.00
1089.66	-5.00
1090.08	-12.00
1090.49	8.00
1090.91	6.00
1091.33	6.00
1091.74	7.00
1092.16	5.00
1092.58	-10.00
1093.00	-10.00
1093.41	18.00
1093.83	7.00
1094.25	22.00
1094.66	-9.00
1095.08	-21.00
1095.50	2.00
1095.91	24.00
1096.33	4.00
1096.75	18.00
1097.17	4.00
1097.58	-32.00
1098.00	-51.00
1098.42	-33.00
