[p1]:		[p2]:		[p3]:	
X	Y	Y-Fit

10.000000	609291.579205	0.000000
7.000000	639246.996089	0.000000
4.000000	636636.032151	0.000000
2.000000	615093.159936	0.000000
1.000000	592614.356735	0.000000
0.500000	529212.804683	0.000000
0.250000	451078.770590	0.000000
0.200000	430260.077851	0.000000
1.500000	609117.195394	0.000000
0.100000	351065.595963	0.000000
0.075000	314449.680610	0.000000
0.050000	290161.913149	0.000000
0.025000	235052.873337	0.000000
0.010000	218319.548923	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	1.#QNAN0
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	1.#QNAN0
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
