Data Point Listing of File C:\Documents and Settings\NMR\Desktop\FPraktikum\2021\16122021\centerfrquency-1.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	kHz
966.018	-2117.322	1250.000
5616.754	-415.231	1247.559
-3515.402	2627.895	1245.117
8006.471	-7546.595	1242.676
1244.747	-1667.452	1240.234
-4071.229	3762.619	1237.793
-3713.116	-2125.415	1235.352
619.402	2968.371	1232.910
-4216.091	8480.163	1230.469
-3667.384	1718.076	1228.027
1151.196	3017.581	1225.586
3427.510	-9247.879	1223.145
434.591	-10809.598	1220.703
1724.693	-5512.139	1218.262
-473.568	865.304	1215.820
-1983.878	3547.048	1213.379
4266.367	-7410.055	1210.938
-611.890	-2932.918	1208.496
7256.870	-593.893	1206.055
7698.070	5326.001	1203.613
6687.224	-2166.089	1201.172
-5244.781	6864.953	1198.730
-737.898	-6027.810	1196.289
-8165.588	-8390.338	1193.848
-10130.039	-5187.483	1191.406
5815.342	4101.704	1188.965
-5000.459	-1200.120	1186.523
-129.446	-538.304	1184.082
-3001.038	-926.409	1181.641
2877.791	-1566.840	1179.199
-5475.143	-414.829	1176.758
2120.543	-1910.388	1174.316
2472.415	4893.332	1171.875
-9370.824	4300.624	1169.434
-3240.114	-3787.534	1166.992
3618.483	-775.528	1164.551
-7655.614	-4145.586	1162.109
-1711.344	-1246.424	1159.668
-5752.100	6289.783	1157.227
855.941	8838.877	1154.785
-842.091	2270.812	1152.344
1148.439	6258.840	1149.902
405.368	-8152.362	1147.461
4902.928	-5612.448	1145.020
-5782.621	6500.427	1142.578
-3435.519	-1169.298	1140.137
-332.734	-9522.345	1137.695
6862.577	-2575.582	1135.254
2293.896	6540.143	1132.813
-7484.674	-13080.833	1130.371
5713.581	6599.365	1127.930
-3180.126	417.177	1125.488
2432.497	-4127.120	1123.047
-5236.284	-8978.297	1120.605
2865.919	-2088.857	1118.164
-576.448	5582.654	1115.723
4024.249	-583.251	1113.281
1651.755	-7928.730	1110.840
-6413.046	-144.345	1108.398
4971.451	-7009.002	1105.957
1967.742	3466.253	1103.516
11454.060	-4032.782	1101.074
5386.344	10735.925	1098.633
-838.885	-4629.356	1096.191
1262.493	-705.593	1093.750
1833.162	-9793.109	1091.309
-1929.768	-2484.997	1088.867
-5969.639	-1504.876	1086.426
4481.366	-95.745	1083.984
-5649.321	-4473.036	1081.543
-5498.855	9055.388	1079.102
-272.944	2849.759	1076.660
-3004.288	-9693.856	1074.219
-1720.563	-3644.468	1071.777
5284.723	5681.629	1069.336
-7168.703	4745.905	1066.895
5241.881	-2661.418	1064.453
