Data Point Listing of File C:\Documents and Settings\NMR\Desktop\FPraktikum\2021\16122021\centerfrquency-1.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	kHz
3826.363	3516.369	1250.000
-8067.858	9489.729	1247.559
-3952.412	-2306.298	1245.117
-1451.235	-7163.805	1242.676
-7892.629	-3475.802	1240.234
7191.419	2821.196	1237.793
4434.922	553.431	1235.352
-3793.989	-9155.992	1232.910
-4225.143	-4345.207	1230.469
8627.414	6936.781	1228.027
3277.468	7900.771	1225.586
848.124	-2059.511	1223.145
-3025.269	1594.327	1220.703
451.291	109.508	1218.262
-6033.671	-5055.743	1215.820
7113.325	-6219.887	1213.379
-1547.458	2738.698	1210.938
-461.385	4751.403	1208.496
510.906	-3701.876	1206.055
2191.026	4497.781	1203.613
-806.724	-1068.815	1201.172
-4956.089	5727.705	1198.730
-3581.830	1008.750	1196.289
-1364.926	1892.391	1193.848
2713.013	-1269.920	1191.406
1523.993	-8488.266	1188.965
2603.981	6467.810	1186.523
-3991.791	2532.713	1184.082
4270.329	1529.777	1181.641
-333.599	-3042.243	1179.199
-3316.716	-4302.183	1176.758
-3583.743	3551.761	1174.316
-3526.952	5609.641	1171.875
1796.238	-1699.977	1169.434
-10641.180	-2958.482	1166.992
-3849.129	-168.756	1164.551
785.543	453.468	1162.109
-1792.023	4336.924	1159.668
1736.466	1675.651	1157.227
-1301.159	-6521.383	1154.785
726.347	-2778.833	1152.344
-3817.406	4607.835	1149.902
-1664.080	-2343.234	1147.461
-2940.096	-807.191	1145.020
-2784.366	-3600.825	1142.578
-3411.855	3292.155	1140.137
1226.259	-4761.591	1137.695
-7456.125	4233.436	1135.254
-2355.777	-660.924	1132.813
6908.792	-3678.261	1130.371
10309.415	-6420.045	1127.930
-1208.863	336.405	1125.488
-4316.032	-3434.476	1123.047
2001.947	8930.414	1120.605
-9412.517	-1980.217	1118.164
-953.436	2333.442	1115.723
-1270.742	-5479.394	1113.281
-5906.695	-4072.743	1110.840
1191.344	-12514.094	1108.398
-2372.678	2017.163	1105.957
1291.236	-622.899	1103.516
174.227	-2421.123	1101.074
8371.109	4624.343	1098.633
8339.811	733.910	1096.191
1133.250	3838.947	1093.750
5506.017	2728.573	1091.309
2897.050	-7303.941	1088.867
2248.945	-5079.042	1086.426
10076.560	3009.368	1083.984
-1378.767	10294.351	1081.543
4103.401	-1728.052	1079.102
-4418.234	4949.902	1076.660
798.740	9462.094	1074.219
1090.296	311.413	1071.777
4091.756	-3213.188	1069.336
-1047.705	3908.436	1066.895
2916.751	-1217.720	1064.453
-671.305	1191.420	1062.012
-2512.751	-3748.088	1059.570
2370.186	2538.602	1057.129
5442.732	4052.679	1054.688
-12155.465	-2370.475	1052.246
5047.139	2252.582	1049.805
4286.805	1513.580	1047.363
1445.295	604.878	1044.922
7446.616	1041.946	1042.480
4529.182	2701.233	1040.039
6394.798	-4127.460	1037.598
193.132	-2798.375	1035.156
5745.079	-13895.819	1032.715
-8106.063	-5175.939	1030.273
-7139.363	1988.827	1027.832
8323.745	-5951.507	1025.391
-53.571	-3746.655	1022.949
4290.110	5606.703	1020.508
-1110.027	7117.377	1018.066
-6932.974	1751.847	1015.625
3270.832	-5154.709	1013.184
-267.119	13304.568	1010.742
-727.750	-238.766	1008.301
644.264	-9012.521	1005.859
3581.854	10291.371	1003.418
1179.672	4686.253	1000.977
2437.247	5932.848	998.535
-4014.025	-2579.844	996.094
2797.167	8411.389	993.652
-6292.674	3736.965	991.211
5252.070	-7119.829	988.770
6201.078	3062.063	986.328
1588.227	1356.530	983.887
-2846.001	-24.282	981.445
-181.223	-373.250	979.004
4707.715	2943.284	976.563
2425.141	-5098.908	974.121
-1371.613	276.614	971.680
-1329.579	-2538.387	969.238
11219.073	-3657.251	966.797
-373.819	11804.385	964.355
-1300.629	6045.979	961.914
3086.701	3776.993	959.473
-1927.216	-7716.494	957.031
-6352.504	1212.043	954.590
361.426	-949.373	952.148
-4812.510	6474.977	949.707
-5250.369	-2903.887	947.266
9246.730	-1574.293	944.824
2238.209	5415.737	942.383
73.106	-6778.310	939.941
5596.370	-4426.321	937.500
-906.234	1957.178	935.059
8085.138	-4550.959	932.617
3198.896	3061.737	930.176
2041.328	5971.042	927.734
1261.791	-7390.881	925.293
4057.192	1683.178	922.852
453.722	-2102.518	920.410
1675.096	-6910.192	917.969
2311.100	584.598	915.527
-6631.388	3131.254	913.086
1073.309	-1543.040	910.645
4102.477	-4708.230	908.203
-291.596	3770.140	905.762
-5802.341	-2147.941	903.320
779.642	14374.845	900.879
-8230.669	-5011.748	898.438
-4413.272	-6266.485	895.996
-10210.809	-6166.652	893.555
-3716.761	7902.574	891.113
-9166.661	-2306.737	888.672
-2323.745	562.971	886.230
-6727.192	-2934.534	883.789
13183.508	506.588	881.348
-4824.592	-2521.665	878.906
-1862.855	7610.824	876.465
371.136	-652.573	874.023
7336.499	3872.818	871.582
16.489	-1111.128	869.141
