Data Point Listing of File C:\Documents and Settings\NMR\Desktop\FPraktikum\2021\16122021\centerfrquency-1.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	kHz
-1429.053	170.307	1250.000
2968.179	1740.227	1247.559
5839.210	241.544	1245.117
693.321	6394.438	1242.676
6991.214	2631.921	1240.234
9548.523	1152.455	1237.793
6342.899	5174.985	1235.352
2310.997	-6196.507	1232.910
5018.162	3301.375	1230.469
7505.864	1922.289	1228.027
-5971.069	-2178.716	1225.586
5475.954	1771.937	1223.145
-465.489	-1000.551	1220.703
-3926.766	-1650.805	1218.262
3059.639	-6270.979	1215.820
4311.636	9591.197	1213.379
-1074.273	-4997.719	1210.938
3870.464	4525.318	1208.496
-2176.045	1790.317	1206.055
-1277.091	-440.166	1203.613
2859.054	-8675.602	1201.172
274.043	6581.040	1198.730
-439.855	2413.043	1196.289
8086.102	-1615.910	1193.848
5148.777	2261.593	1191.406
1754.350	-5813.221	1188.965
-5493.806	-3496.713	1186.523
-4833.911	2432.982	1184.082
-486.400	-165.057	1181.641
75.472	3468.017	1179.199
4928.263	882.153	1176.758
4104.538	-3516.757	1174.316
1302.415	2470.154	1171.875
6563.570	-8881.742	1169.434
-1361.172	-721.840	1166.992
2789.357	-3988.204	1164.551
7679.215	3680.769	1162.109
-2643.780	-5562.608	1159.668
-6952.345	1028.952	1157.227
-3603.185	901.503	1154.785
804.367	-3691.060	1152.344
2875.842	2450.824	1149.902
-4240.395	-5589.454	1147.461
3308.446	2851.862	1145.020
173.472	-803.580	1142.578
-848.377	-3481.668	1140.137
-1009.319	1513.871	1137.695
785.789	-7478.264	1135.254
-7329.683	-1170.709	1132.813
-4696.121	-2434.271	1130.371
1897.767	-7102.623	1127.930
5512.825	-2466.205	1125.488
2782.507	10932.970	1123.047
-4327.521	-9663.220	1120.605
-5365.080	-7122.450	1118.164
-1480.000	736.059	1115.723
-4009.172	-3640.923	1113.281
-1396.668	-4628.110	1110.840
1116.609	-8614.560	1108.398
166.774	1368.846	1105.957
-1157.533	2252.810	1103.516
2848.900	-2974.379	1101.074
1192.740	-5748.988	1098.633
-8898.919	6796.130	1096.191
-1494.212	2884.787	1093.750
-841.100	270.506	1091.309
-1068.760	2174.328	1088.867
1166.361	3598.100	1086.426
3855.894	-2996.209	1083.984
-2596.823	306.755	1081.543
2134.406	-1747.036	1079.102
-8150.416	-1510.008	1076.660
2037.052	-281.153	1074.219
-4271.942	-10527.247	1071.777
3233.363	3451.358	1069.336
-26.661	7728.206	1066.895
-15152.980	-4604.365	1064.453
-7248.312	-684.976	1062.012
-8723.970	-5324.167	1059.570
1359.957	-3460.018	1057.129
2498.829	-10636.460	1054.688
434.283	-2273.642	1052.246
2067.302	6723.571	1049.805
-3056.865	-499.163	1047.363
-10185.728	-2130.270	1044.922
1310.438	-7394.775	1042.480
-6565.955	-7202.850	1040.039
9109.721	-3933.341	1037.598
1339.786	-2125.602	1035.156
-2075.923	-3964.090	1032.715
-1081.061	-2418.581	1030.273
6097.165	-2599.933	1027.832
5170.259	-11476.998	1025.391
1061.113	6499.943	1022.949
-5258.292	-1053.605	1020.508
2740.816	10258.687	1018.066
-3386.321	-3407.775	1015.625
-7051.756	1652.038	1013.184
-4044.357	-2478.802	1010.742
10327.133	-3889.568	1008.301
7426.656	3268.389	1005.859
-5047.867	6968.205	1003.418
-286.229	6687.742	1000.977
-4495.870	5867.313	998.535
-7826.689	-8513.168	996.094
-5080.804	-89.565	993.652
6342.524	-4698.219	991.211
-2679.019	-2233.670	988.770
683.585	2870.591	986.328
6425.043	4883.677	983.887
612.529	-6548.776	981.445
-3602.868	-4435.772	979.004
-1931.275	1304.189	976.563
-1285.121	5506.258	974.121
201.473	2229.068	971.680
-11335.785	-3908.800	969.238
-6532.761	701.137	966.797
13625.571	-2931.867	964.355
2054.420	1678.156	961.914
2679.377	-4191.729	959.473
-7660.221	6462.129	957.031
-7452.100	-839.192	954.590
-1773.897	-1259.433	952.148
6014.327	1947.420	949.707
2904.304	-2991.945	947.266
3007.192	97.152	944.824
5750.143	-2183.700	942.383
3343.435	-8608.804	939.941
-1614.244	-2873.323	937.500
-1311.943	-1259.454	935.059
2007.120	-2225.723	932.617
-495.248	-8896.530	930.176
-3837.069	3904.101	927.734
-4367.685	-1561.709	925.293
-2288.315	1199.329	922.852
3066.841	-5450.186	920.410
-2538.258	-2105.013	917.969
-3060.675	-5113.592	915.527
-4489.203	4269.015	913.086
-299.346	826.516	910.645
3394.923	-3609.845	908.203
-6774.121	2249.845	905.762
-2378.506	4512.847	903.320
11439.906	6040.013	900.879
4040.581	59.465	898.438
-662.559	-4971.426	895.996
-1726.082	-5173.117	893.555
-1547.964	5298.545	891.113
4538.256	3586.856	888.672
10294.566	-9216.774	886.230
7430.464	-5107.629	883.789
563.562	4461.200	881.348
-1033.101	6087.738	878.906
-3315.257	2784.825	876.465
-4004.509	-8945.375	874.023
-7142.727	-9339.520	871.582
3871.257	4639.877	869.141
-5873.247	5537.668	866.699
-6299.598	597.602	864.258
10329.923	3597.493	861.816
-6660.605	3378.669	859.375
-7016.188	5651.463	856.934
-14632.666	3193.588	854.492
-669.480	-2171.840	852.051
-826.191	6927.066	849.609
-2957.074	-8088.725	847.168
-4934.653	5584.526	844.727
-4168.724	-12847.944	842.285
-10783.794	-610.540	839.844
6026.273	18836.508	837.402
-2639.945	-96.143	834.961
-1823.182	-507.812	832.520
-1800.236	-7088.906	830.078
-2180.531	445.673	827.637
4275.396	-11020.361	825.195
1853.168	-456.761	822.754
-1959.069	-2767.389	820.313
7271.924	-7392.130	817.871
3308.750	466.950	815.430
846.831	-6871.187	812.988
-1348.149	-5704.066	810.547
3941.461	-11293.948	808.105
11842.938	6138.337	805.664
-3602.201	-1025.156	803.223
976.734	4637.267	800.781
12962.813	234.898	798.340
2143.902	-3783.852	795.898
1000.829	6118.013	793.457
6717.180	12520.101	791.016
-3915.229	7292.575	788.574
-1752.428	4114.496	786.133
6771.069	7124.500	783.691
15418.354	3967.483	781.250
-5775.164	-5670.451	778.809
-1812.625	5507.325	776.367
-1879.074	3701.460	773.926
-3898.680	-1242.706	771.484
4718.225	-652.190	769.043
-9883.973	601.077	766.602
-1762.935	1120.101	764.160
-4362.554	11937.996	761.719
2701.573	-989.074	759.277
2704.390	-6075.377	756.836
1589.354	-8371.030	754.395
-2504.293	2743.336	751.953
-5147.164	-1803.636	749.512
-2103.427	-3725.602	747.070
1777.644	-809.518	744.629
10509.281	-2360.885	742.188
1743.792	7497.198	739.746
-3583.335	510.450	737.305
3535.434	3026.654	734.863
15656.563	9107.418	732.422
4581.830	-966.220	729.980
2083.414	5995.465	727.539
-2139.228	3727.398	725.098
-10173.987	3239.708	722.656
-325.577	515.331	720.215
2471.568	-2528.630	717.773
-6400.021	-8497.099	715.332
3533.821	-3632.660	712.891
6851.500	-14741.473	710.449
-8927.260	7394.566	708.008
3652.854	-1557.256	705.566
-1717.785	528.860	703.125
-967.516	-10951.399	700.684
770.744	-1531.946	698.242
10869.158	-3520.358	695.801
748.241	-3435.229	693.359
2230.164	13225.000	690.918
2406.510	-8450.203	688.477
-6214.487	7170.059	686.035
1787.471	-9821.311	683.594
-17271.160	6015.230	681.152
1556.965	3803.873	678.711
7817.812	1236.345	676.270
-7092.361	3874.466	673.828
2370.104	-6351.239	671.387
4482.110	-2021.260	668.945
-5916.290	-61.310	666.504
-13576.382	-4926.115	664.063
-1831.053	-1416.305	661.621
4961.984	-519.728	659.180
-5190.266	-1490.048	656.738
2923.414	3276.374	654.297
6902.825	3282.377	651.855
-6332.675	11083.719	649.414
4417.826	-9678.289	646.973
3353.176	3809.745	644.531
489.456	493.453	642.090
-6527.017	-5864.019	639.648
1537.211	-288.707	637.207
5563.274	1004.979	634.766
-745.257	7003.736	632.324
-2711.930	-9046.343	629.883
-4820.286	3316.351	627.441
-6194.932	10517.697	625.000
3802.980	8788.050	622.559
-779.535	6627.752	620.117
6343.514	-764.698	617.676
11885.735	-5534.999	615.234
5145.346	3204.564	612.793
-5431.370	675.476	610.352
6171.583	9957.239	607.910
-5324.841	-145.227	605.469
8293.697	-5182.027	603.027
