Data Point Listing of File C:\Documents and Settings\NMR\Desktop\FPraktikum\2021\16122021\centerfrquency-1.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	kHz
2540.886	5111.431	747.070
4675.546	12570.499	744.629
10077.452	1569.289	742.188
2508.858	-4469.278	739.746
-13369.521	8022.366	737.305
-4514.457	11755.756	734.863
15463.659	3018.185	732.422
-10571.520	14585.678	729.980
10080.548	498.008	727.539
8503.529	-422.638	725.098
-3483.648	210.106	722.656
-2120.708	7734.082	720.215
4260.438	1125.632	717.773
1642.785	8009.022	715.332
-4361.761	-4552.339	712.891
2619.867	1516.578	710.449
9184.473	-293.077	708.008
1840.765	-3335.190	705.566
422.926	-1860.292	703.125
-436.627	-2346.634	700.684
5626.627	-2535.860	698.242
-548.552	-14566.213	695.801
6093.320	-4047.704	693.359
4117.665	-9568.648	690.918
6914.156	752.829	688.477
-890.880	4440.082	686.035
11085.504	-13409.218	683.594
-2372.114	-11226.806	681.152
13212.272	1566.269	678.711
4577.396	2752.962	676.270
-14104.133	-3317.145	673.828
7782.020	2222.446	671.387
5383.348	6402.915	668.945
3977.489	1125.347	666.504
-6633.976	9998.559	664.063
-958.936	5563.176	661.621
4668.519	-3110.975	659.180
5540.683	-2356.386	656.738
700.057	-1964.135	654.297
-2614.864	4438.220	651.855
11485.206	10628.398	649.414
4377.400	-2407.228	646.973
1135.280	4450.083	644.531
-1386.650	-7822.583	642.090
-2220.501	1879.500	639.648
3325.801	-1113.713	637.207
7472.205	-3836.758	634.766
11107.067	-1750.854	632.324
260.817	15460.763	629.883
4056.014	6359.744	627.441
16796.766	-7204.187	625.000
-9193.343	-545.785	622.559
10408.194	6376.201	620.117
5768.927	-4392.480	617.676
167.116	11267.192	615.234
-3348.012	-1392.484	612.793
-4187.136	-4693.067	610.352
4529.503	-3430.385	607.910
7619.586	-5447.850	605.469
11454.719	-6338.059	603.027
7792.953	-9558.379	600.586
1730.670	4328.652	598.145
8927.666	-7140.726	595.703
11104.109	-1131.685	593.262
10247.272	-12372.815	590.820
8350.784	8108.531	588.379
1426.193	-4666.853	585.938
262.194	4188.355	583.496
7090.420	-3422.861	581.055
3926.095	4008.117	578.613
660.985	3721.964	576.172
-13380.956	-4453.457	573.730
-1251.505	1253.799	571.289
1336.982	-4733.891	568.848
4535.490	-9596.872	566.406
-12291.445	-8520.928	563.965
10500.021	3859.470	561.523
10609.629	1719.420	559.082
7394.336	-994.717	556.641
-3424.541	-703.011	554.199
1269.746	-326.219	551.758
-15019.276	-14.951	549.316
10246.107	7369.364	546.875
5070.318	15630.230	544.434
5219.971	-8295.528	541.992
-3240.544	1503.959	539.551
7500.563	5156.015	537.109
-6696.680	11116.213	534.668
15343.184	-5805.730	532.227
7092.787	-5114.723	529.785
-4494.144	2754.856	527.344
11152.639	10630.383	524.902
7412.490	7988.327	522.461
11663.066	-10428.734	520.020
10027.191	1774.651	517.578
8301.834	-3061.374	515.137
1771.857	-4946.815	512.695
-4445.689	7940.060	510.254
596.709	10525.939	507.813
6596.873	2324.189	505.371
-1221.743	-3863.652	502.930
9339.666	6114.600	500.488
-1444.678	872.387	498.047
-601.728	-1090.098	495.605
-5074.626	3042.864	493.164
1324.801	-1694.762	490.723
-4849.408	12062.711	488.281
8290.928	-25.376	485.840
7512.452	3466.374	483.398
8626.779	9099.704	480.957
2107.985	-6821.612	478.516
-4388.264	8285.471	476.074
6524.632	-6317.429	473.633
4138.042	6515.850	471.191
4977.637	4883.065	468.750
-4241.121	-1693.787	466.309
263.829	-52.349	463.867
-2238.729	-568.972	461.426
19653.297	2007.459	458.984
352.695	7346.431	456.543
13219.561	-12651.850	454.102
-2902.936	4589.608	451.660
-2906.026	-977.499	449.219
-8401.050	10300.002	446.777
-1713.311	3309.875	444.336
9238.258	-793.317	441.895
1923.142	6491.479	439.453
-1768.005	2127.321	437.012
-1004.063	-7243.625	434.570
1600.735	9559.685	432.129
6933.520	12333.338	429.688
-5726.139	6141.108	427.246
9994.184	-490.889	424.805
8862.641	-3542.607	422.363
2693.192	-3731.917	419.922
6442.292	4430.754	417.480
3361.626	17488.082	415.039
3346.507	-5671.641	412.598
1044.580	1533.807	410.156
-1628.610	3635.016	407.715
977.865	-6100.056	405.273
12861.092	6702.831	402.832
2320.569	10184.861	400.391
-532.188	-1962.864	397.949
14450.438	6606.727	395.508
-7259.082	-1132.707	393.066
5254.734	-11748.195	390.625
831.140	5983.074	388.184
18963.066	450.833	385.742
-1159.890	2826.460	383.301
-6842.425	1695.341	380.859
3243.916	-2884.550	378.418
7736.355	994.481	375.977
-9660.813	-2134.138	373.535
4385.351	-2428.573	371.094
969.224	5068.146	368.652
13505.902	6738.725	366.211
-3634.668	14253.387	363.770
10824.918	6259.669	361.328
5338.479	7287.281	358.887
4299.641	-7132.622	356.445
3901.418	3486.516	354.004
9811.991	474.364	351.563
6772.509	-8664.567	349.121
8681.372	1239.244	346.680
-1625.279	1875.034	344.238
7342.164	-4904.167	341.797
11843.339	10861.639	339.355
10639.812	-5355.163	336.914
8560.213	-8565.068	334.473
9422.496	674.880	332.031
12968.336	734.369	329.590
8346.803	4901.302	327.148
3365.409	-8349.603	324.707
177.444	-4091.346	322.266
10873.462	5072.197	319.824
3446.066	1130.689	317.383
12915.049	1597.691	314.941
7388.104	1449.153	312.500
11967.482	1649.473	310.059
-6886.652	2654.338	307.617
6808.540	2361.533	305.176
1503.219	8162.359	302.734
8578.416	-21.678	300.293
-6418.292	159.048	297.852
9966.803	-9559.593	295.410
6145.227	6590.396	292.969
1099.559	891.050	290.527
6788.896	6240.134	288.086
-2645.633	-5382.879	285.645
196.971	-303.000	283.203
9848.219	-2200.577	280.762
8398.360	-4623.613	278.320
4366.221	-9010.796	275.879
2017.903	8492.455	273.438
9697.786	-102.240	270.996
12962.017	6134.082	268.555
3295.715	8975.016	266.113
6988.215	1554.778	263.672
6586.616	-1740.374	261.230
6373.736	-11269.834	258.789
-3202.631	-3473.823	256.348
-426.332	3660.172	253.906
9244.391	-5762.451	251.465
-9815.938	11425.637	249.023
-4716.720	-9430.717	246.582
23114.227	2323.140	244.141
11350.726	-9053.209	241.699
4825.833	9690.632	239.258
-4553.573	6188.785	236.816
8072.340	1078.048	234.375
12534.335	6361.865	231.934
4106.138	11272.404	229.492
-6387.996	-7105.379	227.051
5166.507	4286.066	224.609
5526.417	-5363.055	222.168
6461.039	5521.837	219.727
15215.756	15693.338	217.285
9152.518	-7830.299	214.844
1558.436	12037.359	212.402
4606.616	4146.330	209.961
-6678.929	290.087	207.520
-1290.250	-11733.334	205.078
311.485	10944.284	202.637
-2412.589	8115.579	200.195
4694.420	2723.442	197.754
23556.750	-9574.965	195.313
-4326.563	-3944.763	192.871
70.693	-7696.687	190.430
8287.470	5288.942	187.988
14642.378	-8767.818	185.547
1413.372	-5745.512	183.105
7211.463	2433.461	180.664
5836.649	-2657.992	178.223
22326.090	-6682.381	175.781
12567.303	10895.980	173.340
-4121.139	-1863.899	170.898
14405.620	13415.814	168.457
3497.615	-6240.424	166.016
3796.061	4072.206	163.574
5268.473	-2372.446	161.133
13778.956	11454.322	158.691
15981.208	10220.428	156.250
5771.033	-2170.517	153.809
12578.270	-3371.764	151.367
13762.399	-139.728	148.926
17648.207	5819.724	146.484
7931.440	5989.064	144.043
-1090.850	14442.343	141.602
13063.613	-1132.305	139.160
7902.347	6898.355	136.719
4925.544	-13753.352	134.277
-456.505	-13611.349	131.836
3859.953	-5361.922	129.395
3858.808	546.681	126.953
4295.304	-4080.995	124.512
18579.863	-2637.116	122.070
20598.492	-5420.557	119.629
8853.161	6658.554	117.188
-2370.429	-8453.851	114.746
3916.545	-9560.592	112.305
726.743	-3349.582	109.863
3121.913	-5360.055	107.422
-1279.569	-8049.222	104.980
9953.616	-15735.964	102.539
13725.926	-17070.000	100.098
4143.986	-8199.446	97.656
-2591.959	5131.880	95.215
3921.112	7789.902	92.773
7432.278	10882.514	90.332
6693.099	1125.656	87.891
4521.758	2100.682	85.449
3466.385	28.167	83.008
15129.893	3117.034	80.566
7848.961	-5802.910	78.125
6183.903	10773.232	75.684
26591.258	-1685.194	73.242
15119.594	6384.121	70.801
27758.164	-3846.602	68.359
11261.394	6005.904	65.918
