Data Point Listing of File C:\Documents and Settings\NMR\Desktop\FPraktikum\2021\16122021\centerfrquency-1.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	kHz
28.128	-5371.144	1250.000
-2214.296	-1675.828	1247.559
-456.878	8386.795	1245.117
-4064.567	-3148.323	1242.676
-2807.385	-7369.203	1240.234
7674.925	-2071.835	1237.793
-15558.553	7545.093	1235.352
-4981.988	1063.720	1232.910
-1726.999	-1284.209	1230.469
-4839.392	196.278	1228.027
7918.250	4917.986	1225.586
-2634.670	-2549.281	1223.145
-2380.913	-883.259	1220.703
2266.956	-2471.444	1218.262
-11512.116	-2637.174	1215.820
12167.686	3333.835	1213.379
13801.594	8179.886	1210.938
5769.380	3099.013	1208.496
2143.656	143.628	1206.055
5806.390	4378.915	1203.613
3663.070	-5096.407	1201.172
3555.356	-4307.026	1198.730
-737.954	-4759.259	1196.289
463.363	1574.083	1193.848
-1774.362	6322.827	1191.406
-1847.689	6643.110	1188.965
2502.333	-2799.269	1186.523
-2583.134	3608.139	1184.082
-934.798	623.856	1181.641
-1259.699	-8245.433	1179.199
6479.426	871.574	1176.758
-4865.483	-4674.962	1174.316
5098.776	-5574.851	1171.875
4212.911	-642.028	1169.434
1024.245	-106.482	1166.992
-1645.608	-13163.943	1164.551
5665.970	-880.636	1162.109
6547.106	3653.050	1159.668
-1227.461	4226.791	1157.227
3862.363	734.901	1154.785
-8320.714	-3051.773	1152.344
77.977	-3922.814	1149.902
551.157	-3458.875	1147.461
-4874.977	7186.730	1145.020
561.884	4879.363	1142.578
6390.625	5632.506	1140.137
-3640.273	8525.134	1137.695
917.318	10283.631	1135.254
-1227.211	1438.804	1132.813
-6403.706	-352.137	1130.371
-5079.654	3115.354	1127.930
106.942	-10619.293	1125.488
1570.091	-7461.697	1123.047
4803.781	-1119.809	1120.605
7515.014	-10452.871	1118.164
1369.720	1357.182	1115.723
-3763.546	-662.598	1113.281
303.641	3807.571	1110.840
6226.063	-8506.429	1108.398
6248.076	6519.911	1105.957
4667.794	2549.571	1103.516
-227.445	-10600.781	1101.074
-82.840	-4445.003	1098.633
6363.567	2372.219	1096.191
-5429.701	2041.340	1093.750
-6072.352	2185.097	1091.309
-3803.129	3694.233	1088.867
6252.536	2261.535	1086.426
2684.791	2836.833	1083.984
2753.007	4717.304	1081.543
2780.029	-4215.461	1079.102
2592.116	1016.907	1076.660
-3950.031	-2878.665	1074.219
69.298	3388.577	1071.777
-15027.831	-5354.045	1069.336
-1716.221	8440.033	1066.895
350.403	-1587.548	1064.453
-6203.817	-158.643	1062.012
-2584.081	6903.513	1059.570
-4527.582	293.807	1057.129
-1854.167	8152.962	1054.688
140.283	2896.705	1052.246
2848.319	-6410.169	1049.805
1144.475	-9065.705	1047.363
35.578	435.267	1044.922
2481.776	3480.162	1042.480
-1881.298	-4883.594	1040.039
-1116.712	4861.498	1037.598
-4430.253	-6026.540	1035.156
-932.429	3081.777	1032.715
-1727.695	9632.479	1030.273
1693.645	8409.165	1027.832
-4345.441	-4292.799	1025.391
-711.853	10129.322	1022.949
-11962.784	-2389.282	1020.508
4488.736	-540.882	1018.066
3787.267	-12026.465	1015.625
-3504.348	5838.790	1013.184
9767.523	-2935.741	1010.742
-2505.104	-1952.620	1008.301
-2498.577	-4517.239	1005.859
11861.688	-3299.828	1003.418
-289.131	1828.488	1000.977
989.867	4336.174	998.535
1173.944	-56.287	996.094
-1891.427	-2665.748	993.652
4135.576	-5937.994	991.211
-5664.987	4108.263	988.770
636.390	-2653.497	986.328
10554.105	-4104.188	983.887
-1307.665	-1828.745	981.445
5349.695	-2177.421	979.004
1646.246	-1282.800	976.563
1769.033	-2479.982	974.121
-179.683	3398.346	971.680
194.787	-2557.129	969.238
5990.010	-33.426	966.797
3907.396	1853.379	964.355
-1597.133	-8382.609	961.914
-7059.315	9216.248	959.473
564.325	-2590.379	957.031
1601.830	473.500	954.590
-1983.585	693.637	952.148
-2639.977	-532.574	949.707
3428.008	-7746.516	947.266
488.227	1616.566	944.824
1759.145	-10656.949	942.383
-7221.113	2918.102	939.941
