Data Point Listing of File C:\Documents and Settings\NMR\Desktop\FPraktikum\2021\16122021\centerfrquency-1.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	kHz
-8144.219	-1359.168	1250.000
1527.523	1244.857	1247.559
-1706.254	12728.324	1245.117
275.148	2232.773	1242.676
2027.629	7408.851	1240.234
3372.340	-2152.651	1237.793
-6616.301	2938.439	1235.352
5304.998	7154.684	1232.910
410.326	5905.506	1230.469
-4658.885	-1122.292	1228.027
-650.911	-4674.911	1225.586
3057.658	-4100.420	1223.145
-4527.718	923.019	1220.703
4999.214	9004.000	1218.262
1230.058	1999.595	1215.820
2610.721	9637.069	1213.379
-296.476	-2095.324	1210.938
1898.275	-5422.940	1208.496
9572.344	-7051.961	1206.055
4863.703	422.384	1203.613
-5370.995	4885.171	1201.172
29.336	-3362.313	1198.730
-8825.071	248.383	1196.289
-2413.652	3835.195	1193.848
-4905.906	10094.094	1191.406
2365.035	580.290	1188.965
-1048.780	-8060.651	1186.523
-8590.119	6189.454	1184.082
-2705.315	5668.408	1181.641
-2407.225	-2642.527	1179.199
-1841.813	-8604.460	1176.758
-3846.022	-1078.164	1174.316
-2870.783	3178.612	1171.875
-5588.819	5809.431	1169.434
2343.490	-3080.749	1166.992
-4554.154	3404.393	1164.551
4623.141	-4767.945	1162.109
-2002.909	-74.825	1159.668
8472.006	4331.893	1157.227
-10014.930	2110.190	1154.785
-3756.615	2573.103	1152.344
3011.002	2725.546	1149.902
1664.907	779.154	1147.461
7234.573	-8152.854	1145.020
3155.644	-679.385	1142.578
4127.955	5128.024	1140.137
-9459.969	-151.785	1137.695
-682.892	1797.936	1135.254
-2458.823	-7782.819	1132.813
-3129.247	2813.273	1130.371
-4455.866	-2031.262	1127.930
-2722.653	2731.411	1125.488
1972.100	-5368.067	1123.047
-3005.550	-2076.265	1120.605
1518.037	9659.212	1118.164
-3187.684	1752.568	1115.723
3122.164	-4416.243	1113.281
702.073	7477.669	1110.840
-4794.171	7286.754	1108.398
-8322.758	-11825.435	1105.957
3756.798	-3774.925	1103.516
-1985.266	9296.953	1101.074
6303.284	-741.421	1098.633
1183.912	4873.501	1096.191
-1534.200	680.663	1093.750
4254.233	-669.899	1091.309
